STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,hlth_hle,Health and life expectancy,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2016,,68.2,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2017,,65.2,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2018,,62.2,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2019,,62.5,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2020,,62.9,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2021,,65.7,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2022,,66.0,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2023,,65.0,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2024,,63.9,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2013,,63.3,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2014,,64.1,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2015,,63.0,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2016,,63.3,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2017,,61.4,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2018,,62.7,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2019,,62.0,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2020,,61.6,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2021,,62,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2022,,61.8,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CZ,Czechia,2023,,62.0,,,,,
