STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,unit,Unit of measure,statinfo,Statistical information,rskpovth,Risk of poverty threshold,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2006,,23.5,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2007,,21.2,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2008,,25.9,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2009,,26.4,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2010,,20.9,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2011,,19.0,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2012,,19.2,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2013,,19.4,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2014,,21.2,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2015,,22.5,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2016,,21.8,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2017,,22.1,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2018,,23.3,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2019,,22.9,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2020,,21.6,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2021,,23.4,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2022,,22.5,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2023,,22.5,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2024,,21.6,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2025,,22.0,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2000,,15.0,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2005,,14.3,,b,break in time series,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2006,,14.2,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2007,,15.1,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2008,,15.3,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2009,,14.9,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2010,,15.5,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2011,,15.6,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2012,,15.1,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2013,,15.8,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2014,,15.8,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2015,,16.6,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2016,,16.5,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2017,,16.7,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2018,,16.8,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2019,,17.1,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2020,,16.9,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2021,,16.9,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2022,,16.7,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2023,,16.6,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2024,,16.9,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,MT,Malta,2025,,16.9,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,1995,,11.0,,,,,
