STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,rskpovth,Risk of poverty threshold,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,BG,Bulgaria,2021,,11.6,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,BG,Bulgaria,2022,,15.1,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,BG,Bulgaria,2023,,11.1,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,BG,Bulgaria,2024,,8.0,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,BG,Bulgaria,2025,,6.9,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,CH,Switzerland,2014,,11.7,,b,break in time series,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,CH,Switzerland,2015,,11.7,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,CH,Switzerland,2016,,12.0,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,CH,Switzerland,2017,,12.7,,,,,
dataflow,ESTAT:TESPM140(1.0),Housing cost overburden rate,A,Annual,PC,Percentage,TOTAL,Total,TOTAL,Total,T,Total,CH,Switzerland,2018,,12.8,,,,,
